LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,2012-10-12,0.1385,0.1543043478,0.886,46,0.1960338825,7.098,0
MAC000002,2012-10-13,0.18,0.2309791667,0.933,48,0.1923290055,11.087,0.076
MAC000002,2012-10-14,0.158,0.2754791667,1.085,48,0.2746472391,13.223,0.07
MAC000002,2012-10-15,0.131,0.2136875,1.164,48,0.2244834407,10.257,0.07
MAC000002,2012-10-16,0.145,0.2035208333,0.991,48,0.1841152495,9.769,0.087
MAC000002,2012-10-17,0.148,0.2267708333,0.784,48,0.1844085704,10.885,0.067
MAC000002,2012-10-18,0.166,0.2239791667,0.897,48,0.1742453015,10.751,0.102
MAC000002,2012-10-19,0.134,0.1756458333,0.822,48,0.1222299002,8.431,0.072
MAC000002,2012-10-20,0.231,0.3620416646,1.4529999,48,0.2949215438,17.3779999,0.073
MAC000002,2012-10-21,0.385,0.5102083354,2.1600001,48,0.3355192307,24.4900001,0.232
MAC000002,2012-10-22,0.3935,0.3934375,1.126,48,0.1998815507,18.885,0.094
MAC000002,2012-10-23,0.1615,0.2184375,0.671,48,0.1507257487,10.485,0.07
MAC000002,2012-10-24,0.186,0.3236875021,1.8890001,48,0.329606039,15.5370001,0.076
MAC000002,2012-10-25,0.176,0.2735,0.917,48,0.2055463917,13.128,0.073
MAC000002,2012-10-26,0.1885,0.3138541667,0.962,48,0.2551952936,15.065,0.072
MAC000002,2012-10-27,0.319,0.3517916667,1.228,48,0.2563256704,16.886,0.075
MAC000002,2012-10-28,0.313,0.4089374979,1.173,48,0.3206725873,19.6289999,0.072
MAC000002,2012-10-29,0.1755,0.2662291667,1.058,48,0.2488118352,12.779,0.073
MAC000002,2012-10-30,0.2275,0.2908541667,0.893,48,0.2257790286,13.961,0.07
MAC000002,2012-10-31,0.2685,0.3712916688,1.4450001,48,0.3183774734,17.8220001,0.085
MAC000002,2012-11-01,0.205,0.2543541667,0.964,48,0.1556812742,12.209,0.127
MAC000002,2012-11-02,0.26,0.3096595745,1.284,47,0.2111347475,14.554,0.136
MAC000002,2012-11-03,0.2665,0.2988958333,1.137,48,0.1847635913,14.347,0.139
MAC000002,2012-11-04,0.2675,0.3022291646,1.1109999,48,0.2035406968,14.5069999,0.127
MAC000002,2012-11-05,0.2025,0.3144791646,1.0779999,48,0.239699627,15.0949999,0.132
MAC000002,2012-11-06,0.179,0.2429791667,1.156,48,0.2120563443,11.663,0.075
MAC000002,2012-11-07,0.194,0.2736875,1.219,48,0.2540430652,13.137,0.073
MAC000002,2012-11-08,0.186,0.186,0.186,1,,0.186,0.186
MAC000002,2012-11-09,0.243,0.355787234,1.714,47,0.3408891147,16.722,0.078
MAC000002,2012-11-10,0.216,0.2759375,1.062,48,0.2275627018,13.245,0.074
MAC000002,2012-11-11,0.185,0.2228958333,1.149,48,0.1766894426,10.699,0.074
MAC000002,2012-11-12,0.205,0.2566875,1.124,48,0.2231209152,12.321,0.074
